MINISTERE DU BUDGET,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,REPUBLIQUE DE GUINEE,Unnamed: 15,Unnamed: 16,Unnamed: 17,Source,NUMERO,Annee,Mois,REGIE,CATEGORIE,RUBRIQUES,CODE,ID,Prevision,Realisation,ÉCART,Taux,Mois_num,Date
DIRECTION GENERALE  DES DOUANES,,,,,,TABLEAU: N° I,,,,,,,,Travail Justice Solidarité,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
"SUIVI DES RECETTES DOUNAIERES, SUIVANT LE CONTRAT DE PERFORMANCE, LFI 2023",,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
EXERCICE 2023,,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
RUBRIQUES,,,"Janvier-Décembre
2023
(LFI 2023)",Janvier,Février,Mars ,Avril,Mai,Juin,Juillet,Août,Sept,Octobre,Nov,Décembre,Total,Taux,ABOUBACAR BUDGET,,,,,,,,,,,,,,
I  -  PRODUITS PETROLIERS ( en milliers de GNF ),,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,277.0,2024.0,DEC,DGD,MINERAIS D'OR,SMD,,,32154549351.0,22269970686.0,-9884578665.0,0.692591597005461,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,278.0,2024.0,DEC,DGD,MINERAIS D'OR,GBG,,,1593956425.0,5263415128.0,3669458703.0,3.3021072881587714,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,279.0,2024.0,DEC,DGD,MINERAIS D'OR,GG EXPLORATION,,,2265534947.0,3548087918.0,1282552971.0,1.5661148474881592,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,280.0,2024.0,DEC,DGD,MINERAIS D'OR,G MINING KOREA C,,,2870167.0,0.0,-2870167.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,281.0,2024.0,DEC,DGD,MINERAIS D'OR,SM MANDIANA,,,6501900395.0,7418346255.0,916445860.0,1.1409504612997077,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,282.0,2024.0,DEC,DGD,MINERAIS D'OR,"Ryda Group et Rohax
International (R ET R)",,,20369630.0,0.0,-20369630.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,283.0,2024.0,DEC,DGD,MINERAIS D'OR,NEW JAPANMINING COMPANY,,,1573793794.0,2020468244.0,446674450.0,1.283820187690993,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,284.0,2024.0,DEC,DGD,MINERAIS D'OR,KOUROUSSA MINE,,,0.0,7389123498.0,7389123498.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,285.0,2024.0,DEC,DGD,MINERAIS D'OR,MARKET BIS GO SARL,,,0.0,0.0,0.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,286.0,2024.0,DEC,DGD,MINERAIS D'OR,S WELLY MINING,,,0.0,920715703.0,920715703.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,287.0,2024.0,DEC,DGD,MINERAIS D'OR,PARTICUIERS,,,15106462092.0,906048474.0,-14200413618.0,0.059977542622625,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,288.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,SMB,,,46656048960.0,86244442970.0,39588394010.0,1.8485157850365903,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,289.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,BELL AIR MINING,,,7384220481.0,1619374600.0,-5764845881.0,0.2193020379289511,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,290.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,AGBA (SD MINING ),,,735599083.0,0.0,-735599083.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,291.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,AG2BA (KANTE ),,,0.0,3477448051.0,3477448051.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,292.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,KIMBO,,,152602917.0,0.0,-152602917.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,293.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,ASHAPOURA,,,6700797091.0,3264152887.0,-3436644204.0,0.4871290448988765,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,294.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,TOP GUINEE MINING,,,3845083.0,0.0,-3845083.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,295.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,DYNAMIQUE MINNNG,,,0.0,2695545511.0,2695545511.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,296.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,COBAD,,,3109801773.0,5120351349.0,2010549576.0,1.6465201716251,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,297.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,CDM CHINE,,,28131207495.0,5971945450.0,-22159262045.0,0.2122889837224884,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,298.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,CHALCO GUINEE,,,34454279259.0,19152725953.0,-15301553306.0,0.5558881614972981,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,299.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,SPIC INTER INVEST,,,11271015559.0,5043914322.0,-6227101237.0,0.4475119651460681,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,300.0,2024.0,DEC,DGD,MINERAIS DES BAUXITES,GAC,,,33454098253.0,0.0,-33454098253.0,0.0,12.0,2024-12-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,301.0,2024.0,JANV,DGD,PRODUITS PETROLIERS,Taxe sur la Valeur Ajoutée,TVA,P,110507033.0,110507033.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,302.0,2024.0,JANV,DGD,PRODUITS PETROLIERS,Taxe Specifique sur les Produits Petroliers,TSPP,P,5072020.0,5072020.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,303.0,2024.0,JANV,DGD,PRODUITS PETROLIERS,Droit Fiscal à L'Importation,DFI,P,89907074.0,89907074.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,304.0,2024.0,JANV,DGD,PRODUITS PETROLIERS,Taxe d'Entreposage,TEN,P,9404502.0,9404502.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,305.0,2024.0,JANV,DGD,PRODUITS PETROLIERS,Redevance Traitement Liquidation,RTL,P,14811777.0,14811777.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,306.0,2024.0,JANV,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur les Substances Minières,TESM,,210188592.0,210188592.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,307.0,2024.0,JANV,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur la Production Artisanale de l'Or et autres pièrres précieuse ,,,10093978.0,10093978.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,308.0,2024.0,JANV,DGD,AUTRES PRODUITS,Taxe sur la Valeur Ajoutée,TVA,HP,215006347.0,215006347.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,309.0,2024.0,JANV,DGD,AUTRES PRODUITS,Droits d'Accises ,ACC,,15642779.0,15642779.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,310.0,2024.0,JANV,DGD,AUTRES PRODUITS,Droit Fiscal à L'Importation,DFI,HP,196712787.0,196712787.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,311.0,2024.0,JANV,DGD,AUTRES PRODUITS,Droit de Magasinage,DM,,0.0,0.0,0.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,312.0,2024.0,JANV,DGD,AUTRES PRODUITS,Taxe d'Entreposage,TEN,HP,1495675.0,1495675.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,313.0,2024.0,JANV,DGD,AUTRES PRODUITS,Redevance Traitement Liquidation,RTL,HP,26238858.0,26238858.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,314.0,2024.0,JANV,DGD,AUTRES PRODUITS,Produit Vente aux Enchéres,PVE,,262327.0,262327.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,315.0,2024.0,JANV,DGD,AUTRES PRODUITS,Taxe d'Enregistrement,TE,,5079083.0,5079083.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,316.0,2024.0,JANV,DGD,AUTRES PRODUITS,Taxe Conjoncturelle de Protection,TCP,,2679483.0,2679483.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,317.0,2024.0,JANV,DGD,AUTRES PRODUITS,Redevance Prèstation Administrative,RPA,,320900.0,320900.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,318.0,2024.0,JANV,DGD,AUTRES PRODUITS,Amendes et Confiscations douanières,AC,,81249.0,81249.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,319.0,2024.0,JANV,DGD,AUTRES PRODUITS,Droit Fiscal de Sortie ( produits de crue ),DFS,,728339.0,728339.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,320.0,2024.0,JANV,DGD,AUTRES PRODUITS,Autres Comptes à Recevoir (Exclos),ACR,,105090470.0,105090470.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,321.0,2024.0,JANV,DGD,RECETTES D'ORDRES,Redevance Entretien Routier,RER,P,57798829.0,57798829.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,322.0,2024.0,JANV,DGD,RECETTES D'ORDRES,Chèque Trésor Série Spécial ,CTSS,,8794059.0,8794059.0,0.0,1.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,323.0,2024.0,FEV,DGD,PRODUITS PETROLIERS,Taxe sur la Valeur Ajoutée,TVA,P,78977868.0,78977868.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,324.0,2024.0,FEV,DGD,PRODUITS PETROLIERS,Taxe Specifique sur les Produits Petroliers,TSPP,P,8868674.0,8868674.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,325.0,2024.0,FEV,DGD,PRODUITS PETROLIERS,Droit Fiscal à L'Importation,DFI,P,65111142.0,65111142.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,326.0,2024.0,FEV,DGD,PRODUITS PETROLIERS,Taxe d'Entreposage,TEN,P,4898738.0,4898738.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,327.0,2024.0,FEV,DGD,PRODUITS PETROLIERS,Redevance Traitement Liquidation,RTL,P,10198646.0,10198646.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,328.0,2024.0,FEV,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur les Substances Minières,TESM,,119358410.0,119358410.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,329.0,2024.0,FEV,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur la Production Artisanale de l'Or et autres pièrres précieuse ,,,4773362.0,4773362.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,330.0,2024.0,FEV,DGD,AUTRES PRODUITS,Taxe sur la Valeur Ajoutée,TVA,HP,236173952.0,236173952.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,331.0,2024.0,FEV,DGD,AUTRES PRODUITS,Droits d'Accises ,ACC,,14081147.0,14081147.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,332.0,2024.0,FEV,DGD,AUTRES PRODUITS,Droit Fiscal à L'Importation,DFI,HP,193830066.0,193830066.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,333.0,2024.0,FEV,DGD,AUTRES PRODUITS,Droit de Magasinage,DM,,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,334.0,2024.0,FEV,DGD,AUTRES PRODUITS,Taxe d'Entreposage,TEN,HP,2386319.0,2386319.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,335.0,2024.0,FEV,DGD,AUTRES PRODUITS,Redevance Traitement Liquidation,RTL,HP,32612334.0,32612334.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,336.0,2024.0,FEV,DGD,AUTRES PRODUITS,Produit Vente aux Enchéres,PVE,,488718.0,488718.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,337.0,2024.0,FEV,DGD,AUTRES PRODUITS,Taxe d'Enregistrement,TE,,4855942.0,4855942.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,338.0,2024.0,FEV,DGD,AUTRES PRODUITS,Taxe Conjoncturelle de Protection,TCP,,1977522.0,1977522.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,339.0,2024.0,FEV,DGD,AUTRES PRODUITS,Redevance Prèstation Administrative,RPA,,207200.0,207200.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,340.0,2024.0,FEV,DGD,AUTRES PRODUITS,Amendes et Confiscations douanières,AC,,7973931.0,7973931.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,341.0,2024.0,FEV,DGD,AUTRES PRODUITS,Droit Fiscal de Sortie ( produits de crue ),DFS,,1477007.0,1477007.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,342.0,2024.0,FEV,DGD,AUTRES PRODUITS,Autres Comptes à Recevoir (Exclos),ACR,,30151259.0,30151259.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,343.0,2024.0,FEV,DGD,RECETTES D'ORDRES,Redevance Entretien Routier,RER,P,30843387.0,30843387.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,344.0,2024.0,FEV,DGD,RECETTES D'ORDRES,Chèque Trésor Série Spécial ,CTSS,,10755864.0,10755864.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,345.0,2024.0,MARS,DGD,PRODUITS PETROLIERS,Taxe sur la Valeur Ajoutée,TVA,P,103735351.0,103735351.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,346.0,2024.0,MARS,DGD,PRODUITS PETROLIERS,Taxe Specifique sur les Produits Petroliers,TSPP,P,12296817.0,12296817.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,347.0,2024.0,MARS,DGD,PRODUITS PETROLIERS,Droit Fiscal à L'Importation,DFI,P,72931699.0,72931699.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,348.0,2024.0,MARS,DGD,PRODUITS PETROLIERS,Taxe d'Entreposage,TEN,P,8528904.0,8528904.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,349.0,2024.0,MARS,DGD,PRODUITS PETROLIERS,Redevance Traitement Liquidation,RTL,P,16275319.0,16275319.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,350.0,2024.0,MARS,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur les Substances Minières,TESM,,200646968.0,200646968.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,351.0,2024.0,MARS,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur la Production Artisanale de l'Or et autres pièrres précieuse ,,,5097670.0,5097670.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,352.0,2024.0,MARS,DGD,AUTRES PRODUITS,Taxe sur la Valeur Ajoutée,TVA,HP,276160551.0,276160551.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,353.0,2024.0,MARS,DGD,AUTRES PRODUITS,Droits d'Accises ,ACC,,14028978.0,14028978.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,354.0,2024.0,MARS,DGD,AUTRES PRODUITS,Droit Fiscal à L'Importation,DFI,HP,242132291.0,242132291.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,355.0,2024.0,MARS,DGD,AUTRES PRODUITS,Droit de Magasinage,DM,,10000.0,10000.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,356.0,2024.0,MARS,DGD,AUTRES PRODUITS,Taxe d'Entreposage,TEN,HP,967363.0,967363.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,357.0,2024.0,MARS,DGD,AUTRES PRODUITS,Redevance Traitement Liquidation,RTL,HP,47413196.0,47413196.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,358.0,2024.0,MARS,DGD,AUTRES PRODUITS,Produit Vente aux Enchéres,PVE,,830650.0,830650.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,359.0,2024.0,MARS,DGD,AUTRES PRODUITS,Taxe d'Enregistrement,TE,,7020435.0,7020435.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,360.0,2024.0,MARS,DGD,AUTRES PRODUITS,Taxe Conjoncturelle de Protection,TCP,,2275264.0,2275264.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,361.0,2024.0,MARS,DGD,AUTRES PRODUITS,Redevance Prèstation Administrative,RPA,,572100.0,572100.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,362.0,2024.0,MARS,DGD,AUTRES PRODUITS,Amendes et Confiscations douanières,AC,,353055.0,353055.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,363.0,2024.0,MARS,DGD,AUTRES PRODUITS,Droit Fiscal de Sortie ( produits de crue ),DFS,,887215.0,887215.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,364.0,2024.0,MARS,DGD,AUTRES PRODUITS,Autres Comptes à Recevoir (Exclos),ACR,,9113497.0,9113497.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,365.0,2024.0,MARS,DGD,RECETTES D'ORDRES,Redevance Entretien Routier,RER,P,49364724.0,49364724.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,366.0,2024.0,MARS,DGD,RECETTES D'ORDRES,Chèque Trésor Série Spécial ,CTSS,,5357668.0,5357668.0,0.0,1.0,3.0,2024-03-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,367.0,2024.0,AVRI,DGD,PRODUITS PETROLIERS,Taxe sur la Valeur Ajoutée,TVA,P,159644047.0,159644047.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,368.0,2024.0,AVRI,DGD,PRODUITS PETROLIERS,Taxe Specifique sur les Produits Petroliers,TSPP,P,5895912.0,5895912.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,369.0,2024.0,AVRI,DGD,PRODUITS PETROLIERS,Droit Fiscal à L'Importation,DFI,P,99514625.0,99514625.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,370.0,2024.0,AVRI,DGD,PRODUITS PETROLIERS,Taxe d'Entreposage,TEN,P,8414340.0,8414340.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,371.0,2024.0,AVRI,DGD,PRODUITS PETROLIERS,Redevance Traitement Liquidation,RTL,P,18486414.0,18486414.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,372.0,2024.0,AVRI,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur les Substances Minières,TESM,,208812379.0,208812379.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,373.0,2024.0,AVRI,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur la Production Artisanale de l'Or et autres pièrres précieuse ,,,2039780.0,2039780.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,374.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Taxe sur la Valeur Ajoutée,TVA,HP,234567407.0,234567407.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,375.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Droits d'Accises ,ACC,,17656429.0,17656429.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,376.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Droit Fiscal à L'Importation,DFI,HP,211710002.0,211710002.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,377.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Droit de Magasinage,DM,,65000.0,65000.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,378.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Taxe d'Entreposage,TEN,HP,583005.0,583005.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,379.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Redevance Traitement Liquidation,RTL,HP,50080124.0,50080124.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,380.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Produit Vente aux Enchéres,PVE,,743678.0,743678.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,381.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Taxe d'Enregistrement,TE,,5206179.0,5206179.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,382.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Taxe Conjoncturelle de Protection,TCP,,2620489.0,2620489.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,383.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Redevance Prèstation Administrative,RPA,,329400.0,329400.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,384.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Amendes et Confiscations douanières,AC,,737203.0,737203.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,385.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Droit Fiscal de Sortie ( produits de crue ),DFS,,580185.0,580185.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,386.0,2024.0,AVRI,DGD,AUTRES PRODUITS,Autres Comptes à Recevoir (Exclos),ACR,,1997858.0,1997858.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,387.0,2024.0,AVRI,DGD,RECETTES D'ORDRES,Redevance Entretien Routier,RER,P,43943409.0,43943409.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,388.0,2024.0,AVRI,DGD,RECETTES D'ORDRES,Chèque Trésor Série Spécial ,CTSS,,12619537.0,12619537.0,0.0,1.0,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,389.0,2024.0,MAI,DGD,PRODUITS PETROLIERS,Taxe sur la Valeur Ajoutée,TVA,P,144705942.0,144705942.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,390.0,2024.0,MAI,DGD,PRODUITS PETROLIERS,Taxe Specifique sur les Produits Petroliers,TSPP,P,2487182.0,2487182.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,391.0,2024.0,MAI,DGD,PRODUITS PETROLIERS,Droit Fiscal à L'Importation,DFI,P,97474690.0,97474690.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,392.0,2024.0,MAI,DGD,PRODUITS PETROLIERS,Taxe d'Entreposage,TEN,P,6798358.0,6798358.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,393.0,2024.0,MAI,DGD,PRODUITS PETROLIERS,Redevance Traitement Liquidation,RTL,P,19217207.0,19217207.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,394.0,2024.0,MAI,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur les Substances Minières,TESM,,214754660.0,214754660.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,395.0,2024.0,MAI,DGD, PRODUITS MINIERS,Taxe à l' Exportation sur la Production Artisanale de l'Or et autres pièrres précieuse ,,,2859942.0,2859942.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,396.0,2024.0,MAI,DGD,AUTRES PRODUITS,Taxe sur la Valeur Ajoutée,TVA,HP,258933572.0,258933572.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,397.0,2024.0,MAI,DGD,AUTRES PRODUITS,Droits d'Accises ,ACC,,19683779.0,19683779.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,398.0,2024.0,MAI,DGD,AUTRES PRODUITS,Droit Fiscal à L'Importation,DFI,HP,200077954.0,200077954.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,399.0,2024.0,MAI,DGD,AUTRES PRODUITS,Droit de Magasinage,DM,,50000.0,50000.0,0.0,1.0,5.0,2024-05-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,400.0,2024.0,MAI,DGD,AUTRES PRODUITS,Taxe d'Entreposage,TEN,HP,3637219.0,3637219.0,0.0,1.0,5.0,2024-05-01
